,Head x,Head y,Neck x,Neck y,Torso x,Torso y,Tailhead x,Tailhead y,warped Head x,warped Head y,warped Neck x,warped Neck y,warped Torso x,warped Torso y,warped Tailhead x,warped Tailhead y,Elapsed Time,decision
6501,196.3879852,156.1982422,196.9058838,151.3717499,196.177002,140.2433929,192.7545013,131.7324219,327.5929346,36.10964738,322.2327337,34.63278537,311.6172106,35.70520787,303.0659,38.51893228,0.966666667,Acc
6502,199.1408081,156.6414337,199.1213226,151.848877,196.0611877,140.7754364,192.5323181,132.3936005,328.5418138,34.03806869,323.3220196,34.15685115,312.8368447,35.80960092,303.7250426,38.75896192,1,Acc
6503,199.8059845,157.1663055,199.5830688,152.3579865,196.2486725,143.0639191,192.5826416,132.869873,329.2761811,33.19154333,323.9765107,33.41186026,314.1161878,35.73616103,304.6623656,38.21680626,1.033333333,Acc
6504,200.3530121,159.1602783,200.159317,152.5849609,196.7223358,143.4975586,195.2714691,135.2696991,329.6108604,32.43072238,324.1583765,32.51890093,314.8843313,35.48018728,306.2179981,36.7518295,1.066666667,Acc
6505,203.3987732,157.1223145,200.6461945,152.4824524,196.8829651,143.532486,195.2212372,135.3409119,329.1727179,30.2286952,323.7799977,31.4922997,314.8906968,35.09708448,306.8015362,36.71652251,1.1,Acc
6506,204.2868347,156.407074,203.1781921,151.8688354,197.0170288,143.1888733,192.8787537,135.3257141,328.0058087,28.63064897,322.7379243,30.40556079,314.1158017,34.58648678,306.7355192,38.13484274,1.133333333,Acc
6507,207.4997559,155.2895508,203.9316711,149.1623077,199.1321869,140.8824005,192.4104462,135.1384277,326.0328213,26.26269767,321.0792878,29.48753803,312.8414575,34.22702834,306.4957378,38.9825357,1.166666667,Acc
6508,208.2196503,151.7964172,204.2955475,147.8711243,197.0149994,140.3360291,191.8877869,134.916687,323.1814287,25.21688931,319.097444,28.81819205,311.8800198,34.58527436,306.3113184,39.37459537,1.2,Acc
6509,208.4912262,148.2836304,204.2523193,144.9791412,196.7571106,139.8486176,191.631073,134.9337769,319.7774776,24.44322214,316.9966127,28.28798448,311.4666537,35.11929099,306.5000463,40.14891123,1.233333333,Acc
6510,211.208252,144.3980103,204.5752258,143.9681396,196.4853516,140.3228149,188.9255066,135.9311676,316.3020284,22.34128877,314.9812985,27.71124535,311.4300737,35.40831224,307.0399707,41.83070384,1.266666667,Acc
6511,211.7979889,141.0350952,205.0554047,140.9651947,196.5530701,139.8816223,188.4446869,135.651062,313.1871508,21.36543335,313.0898048,26.98239293,311.3954171,35.232079,307.1658757,42.68345822,1.3,Acc
6512,211.9304657,139.625824,207.2574463,140.0276489,197.0298004,139.7559204,188.5527649,135.9322968,310.5474765,21.14133688,311.4104488,26.18104397,311.3022388,34.48582981,307.3539713,42.65074532,1.333333333,Acc
6513,212.1486664,136.3214569,207.469223,139.089798,199.4346771,139.7140198,188.9157104,136.336319,308.1417092,20.90016932,309.7847234,25.54228164,311.0222582,33.37105018,307.6588864,41.9277978,1.366666667,Acc
6514,212.077652,134.9790192,207.5482788,136.3260956,199.8379669,139.4458771,191.1364594,136.4161377,305.8299178,20.82882698,308.070707,25.14494774,310.2584385,32.45302203,307.8297693,40.58947048,1.4,Acc
6515,212.071701,132.0908508,207.5571747,135.4850311,200.2939758,137.0655823,191.2915192,136.5727997,303.3858233,20.72942221,306.3960638,24.9486156,309.0107322,31.62925144,307.9509363,39.98790204,1.433333333,Acc
6516,211.9978485,129.0757904,207.6465607,132.7715454,201.0606995,136.4557343,191.6955414,136.6383057,300.8008329,20.72126513,304.8644562,24.8866122,307.9266906,30.51480896,308.0957561,39.64414407,1.466666667,Acc
6517,211.6064453,127.3757019,207.4686584,132.1208801,203.8911896,135.7902527,192.380127,136.9767761,298.1159454,20.87758075,303.6654415,24.91129318,307.1011942,29.04940282,308.2914319,39.06946977,1.5,Acc
6518,211.7818604,123.6361084,207.3668365,131.7683411,204.490509,135.0211639,193.2696533,136.8851471,295.2601131,20.64504513,302.7104828,24.97250166,306.3681004,27.6849893,308.3121325,38.28583422,1.533333333,Acc
6519,80.12229156,127.3451462,75.32230377,127.7205124,63.935215,127.6259308,54.70762253,124.7115097,298.7142137,142.0783678,299.0433732,146.7368394,298.9409711,156.9109562,295.9598143,165.5927183,0,
6520,83.0818634,127.6419983,76.22172546,127.8551941,67.07669067,127.630661,56.11581039,124.7902298,298.9684954,139.6114192,299.1648197,145.16573,298.9580474,154.4115734,296.2575823,163.5430974,0.033333333,
6521,84.79682159,127.8480988,79.90757751,127.9546814,68.87966156,127.7598648,59.8951416,126.9832458,299.1998191,136.6405108,299.3508619,142.2366904,299.119621,151.8254996,298.1479903,160.610376,0.066666667,
